model,threshold_type,threshold,recovery_rate,interest_rate,accuracy,precision_BAD_1,recall_BAD_1,f1_BAD_1,roc_auc,true_negatives,false_positives,false_negatives,true_positives,false_negative_loss,false_positive_loss,total_expected_loss,average_expected_loss,loss_given_default,false_negative_loan_value,false_positive_loan_value
Gradient Boosting,threshold_grid,0.47,0.4,0.04,0.9161073825503355,0.8438538205980066,0.711484593837535,0.7720364741641338,0.9632800709382285,1384,47,103,254,1294980.0,32008.0,1326988.0,742.1633109619687,0.6,2158300.0,800200.0
Gradient Boosting,threshold_grid,0.48,0.4,0.04,0.9161073825503355,0.8461538461538461,0.7086834733893558,0.7713414634146342,0.9632800709382285,1385,46,104,253,1305720.0,31008.0,1336728.0,747.6107382550335,0.6,2176200.0,775200.0
Gradient Boosting,threshold_grid,0.49,0.4,0.04,0.9155480984340044,0.8456375838926175,0.7058823529411765,0.7694656488549618,0.9632800709382285,1385,46,105,252,1310220.0,31008.0,1341228.0,750.1275167785235,0.6,2183700.0,775200.0
Gradient Boosting,threshold_grid,0.5,0.4,0.04,0.9161073825503355,0.8484848484848485,0.7058823529411765,0.7706422018348624,0.9632800709382285,1386,45,105,252,1310220.0,28728.0,1338948.0,748.8523489932886,0.6,2183700.0,718200.0
Gradient Boosting,threshold_grid,0.51,0.4,0.04,0.9161073825503355,0.8508474576271187,0.7030812324929971,0.7699386503067485,0.9632800709382285,1387,44,106,251,1332180.0,27700.0,1359880.0,760.5592841163311,0.6,2220300.0,692500.0
Gradient Boosting,threshold_grid,0.52,0.4,0.04,0.9166666666666666,0.8561643835616438,0.7002801120448179,0.7704160246533128,0.9632800709382285,1389,42,107,250,1336680.0,26532.0,1363212.0,762.4228187919463,0.6,2227800.0,663300.0
Gradient Boosting,threshold_grid,0.53,0.4,0.04,0.9166666666666666,0.8561643835616438,0.7002801120448179,0.7704160246533128,0.9632800709382285,1389,42,107,250,1336680.0,26532.0,1363212.0,762.4228187919463,0.6,2227800.0,663300.0
Gradient Boosting,threshold_grid,0.54,0.4,0.04,0.9172259507829977,0.8666666666666667,0.6918767507002801,0.7694704049844237,0.9632800709382285,1393,38,110,247,1353900.0,24228.0,1378128.0,770.7651006711409,0.6,2256500.0,605700.0
Gradient Boosting,threshold_grid,0.55,0.4,0.04,0.918903803131991,0.875886524822695,0.6918767507002801,0.7730829420970265,0.9632800709382285,1396,35,110,247,1353900.0,22576.0,1376476.0,769.841163310962,0.6,2256500.0,564400.0
Gradient Boosting,threshold_grid,0.56,0.4,0.04,0.9194630872483222,0.8790035587188612,0.6918767507002801,0.774294670846395,0.9632800709382285,1397,34,110,247,1353900.0,22096.0,1375996.0,769.572706935123,0.6,2256500.0,552400.0
Gradient Boosting,threshold_grid,0.57,0.4,0.04,0.9194630872483222,0.8790035587188612,0.6918767507002801,0.774294670846395,0.9632800709382285,1397,34,110,247,1353900.0,22096.0,1375996.0,769.572706935123,0.6,2256500.0,552400.0
